date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:48:35	37829/37829	---M-Z	200	added ('OK')	text/html	etag:%2220414b9-93c5-582b3e814fe00-gzip%22	https://thememakker.com/templates/swift/hospital/animations.html	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/animations.html	(from https://thememakker.com/templates/swift/hospital/)
22:48:36	33236/33236	---M-Z	200	added ('OK')	text/html	etag:%2220414ba-81d4-582b3e814fe00-gzip%22	https://thememakker.com/templates/swift/hospital/badges.html	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/badges.html	(from https://thememakker.com/templates/swift/hospital/)
22:48:37	35603/35603	---M-Z	200	added ('OK')	text/html	etag:%2220414bd-8b13-582b3e7025580-gzip%22	https://thememakker.com/templates/swift/hospital/breadcrumbs.html	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/breadcrumbs.html	(from https://thememakker.com/templates/swift/hospital/)
22:48:38	135430/135430	---M-Z	200	added ('OK')	text/html	etag:%2220414be-21106-582b3e7b97080-gzip%22	https://thememakker.com/templates/swift/hospital/buttons.html	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/buttons.html	(from https://thememakker.com/templates/swift/hospital/)
22:48:39	85258/85258	---M-Z	200	added ('OK')	text/html	etag:%2220414bf-14d0a-582b3e805bbc0-gzip%22	https://thememakker.com/templates/swift/hospital/collapse.html	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/collapse.html	(from https://thememakker.com/templates/swift/hospital/)
22:48:40	39654/39654	---M-Z	200	added ('OK')	text/html	etag:%2220414c0-9ae6-582b3e720da00-gzip%22	https://thememakker.com/templates/swift/hospital/colors.html	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/colors.html	(from https://thememakker.com/templates/swift/hospital/)
22:48:41	33590/33590	---M-Z	200	added ('OK')	text/html	etag:%2220414c1-8336-582b3e71197c0-gzip%22	https://thememakker.com/templates/swift/hospital/dialogs.html	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/dialogs.html	(from https://thememakker.com/templates/swift/hospital/)
22:48:42	304842/304842	---M-Z	200	added ('OK')	text/html	etag:%2220414c7-4a6ca-582b3e65a7cc0-gzip%22	https://thememakker.com/templates/swift/hospital/icons.html	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/icons.html	(from https://thememakker.com/templates/swift/hospital/)
22:48:43	33185/33185	---M-Z	200	added ('OK')	text/html	etag:%2220414c9-81a1-582b3e6d48ec0-gzip%22	https://thememakker.com/templates/swift/hospital/labels.html	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/labels.html	(from https://thememakker.com/templates/swift/hospital/)
22:48:44	48782/48782	---M-Z	200	added ('OK')	text/html	etag:%2220414ca-be8e-582b3e6f31340-gzip%22	https://thememakker.com/templates/swift/hospital/list-group.html	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/list-group.html	(from https://thememakker.com/templates/swift/hospital/)
